,count,count,count
ရင်းနှီးမြှုပ်နှံ,10.0,3.0,1.0
ရင်းနှီးမြှူပ်နှံ,2.0,,
ရင်းသွင်း,1.0,,
ရည်စူး,1.0,,
ရည်ညွှန်း,1.0,,
ရည်မှန်း,3.0,2.0,1.0
ရည်ရွယ်,13.0,5.0,1.0
ရထားတိုက်,3.0,,
ရနိုင်,2.0,,1.0
ရန်လို,1.0,1.0,
ရပ်,11.0,2.0,
ရပ်စဲ,4.0,2.0,
ရပ်ဆိုင်း,11.0,,1.0
ရပ်တည်,12.0,4.0,2.0
ရပ်တန့်,8.0,1.0,2.0
ရပ်နား,4.0,2.0,
ရယူ,11.0,1.0,
ရယ်,,1.0,
ရရှိ,121.0,32.0,12.0
ရာထူးချ,1.0,,
ရိတ်သိမ်း,1.0,,
ရိုက်,17.0,4.0,
ရိုက်ကူး,7.0,1.0,
ရိုက်ကြည့်,1.0,,
ရိုက်ခတ်,7.0,4.0,1.0
ရိုက်ချ,1.0,,
ရိုက်နှက်,1.0,,
ရိုက်ပြ,,1.0,
ရိုက်မိ,1.0,,
ရိုက်ယူ,,1.0,
ရိုင်းပြ,1.0,,
ရိုး,2.0,,1.0
ရိုးသား,1.0,,
ရုတ်သိမ်း,2.0,2.0,
ရုန်းကန်,,1.0,
ရုပ်သိမ်း,5.0,1.0,
ရုပ်သိမ်းလိုက်,1.0,,
ရုပ်သံလွှင့်,1.0,,
ရုံးတင်,2.0,,
ရုံးတင်စစ်ဆေးမည်,,,1.0
ရုံးထုတ်ခံ,1.0,,
ရေကူး,3.0,5.0,1.0
ရေကြီး,11.0,1.0,
ရေငုပ်,2.0,1.0,1.0
ရေငွေ့ပျံ,1.0,,
ရေတွက်,4.0,2.0,2.0
ရေဒီယိုသတ္တိကြွ,,1.0,
ရေနစ်,1.0,,
ရေနံ-ထုတ်လုပ်,1.0,,
ရေပန်းစား,1.0,1.0,
ရေလွှမ်း,1.0,,
ရော,4.0,,1.0
ရောက်,65.0,15.0,9.0
ရောက်ရှိ,3.0,1.0,
ရောက်လာ,1.0,,
ရောဂါသတ်မှတ်,,1.0,
ရောင်ပြန်ကွေးညွှတ်,,,1.0
ရောင်ရမ်း,1.0,,
ရောင်း,5.0,3.0,
ရောင်းကုန်,1.0,,
ရောင်းချ,20.0,3.0,
ရောင်းဝယ်,1.0,,
ရောထွေး,1.0,,
ရေး,2.0,,1.0
ရေးကြီး,1.0,,
ရေးဆွဲ,6.0,2.0,1.0
ရေးတင်,1.0,,
ရေးထိုး,5.0,1.0,1.0
ရေးဖွဲ့,2.0,,
ရေးသား,19.0,1.0,
ရဲစွမ်း,,1.0,
ရွက်လွင့်,1.0,,
ရွာသွန်း,2.0,,
ရွေ့,,1.0,
ရွေ့ဆိုင်း,,1.0,
ရွေ့ပြောင်း,1.0,,
ရွေ့လျား,2.0,1.0,
ရွေးကောက်,9.0,1.0,
ရွေးကောက်ခံ,1.0,,
ရွေးချယ်,18.0,6.0,2.0
ရွေးချယ်ခံ,1.0,,
ရွေးချယ်တင်မြှောက်,1.0,,
ရွေးချယ်ထား,,1.0,
ရွှေ့,9.0,,1.0
ရွှေ့ပြောင်း,6.0,1.0,1.0
ရှင်,2.0,,
ရှင်သန်,1.0,,
ရှင်းထုတ်,1.0,,
ရှင်းပြ,3.0,,
ရှင်းလင်း,14.0,3.0,3.0
ရှင်းလင်းမြင်သာ,,1.0,
ရှင်းလင်းသန့်စင်,1.0,,
ရှည်ကြာ,1.0,,
ရှာ,3.0,3.0,
ရှာတွေ့,3.0,,
ရှာဖွေ,38.0,7.0,7.0
ရှာဖွေစူးစမ်း,1.0,,
ရှာလိမ့်,1.0,,
ရှိ,488.0,262.0,65.0
ရှိကြ,1.0,,
ရှိခိုး,4.0,1.0,
ရှိခဲ့ကြ,1.0,1.0,
ရှိခဲ့ရာ,1.0,,
ရှိဆဲ,1.0,,1.0
ရှိတတ်,1.0,,
ရှိနေဆဲ,,1.0,
ရှိနှင့်ပြီး,1.0,,
ရှိသေး,2.0,1.0,
ရှို့,2.0,2.0,1.0
ရှုတ်ချ,1.0,,
ရှုပ်,1.0,1.0,
ရှုပ်ချ,1.0,,
ရှုရှိုက်ရ,,1.0,
ရှုံး,7.0,2.0,1.0
ရှုံးနိမ့်,20.0,3.0,2.0
ရှူ,2.0,,
ရှူရှိုက်မိ,1.0,,
ရှောင်တိမ်း,,1.0,
ရှောင်ရှား,1.0,,1.0
ရှေ့ဆက်တက်,1.0,,
ရှေ့ဆောင်,1.0,,
ရှေ့တက်,1.0,,
ရှေ့နေလိုက်,2.0,,
ရှေးကျ,2.0,,
ရှေးရိုးစွဲ,1.0,,
ရှံးနိမ့်,1.0,,
လက်ကမ်းမှီ,1.0,,
လက်ခံ,16.0,6.0,3.0
လက်ခံကျင်းပ,1.0,,
လက်ခံနိုင်,,1.0,
လက်ဆော့,1.0,,
လက်တွေ့ကျ,1.0,,
လက်တွေ့လုပ်ဆောင်,1.0,,
လက်ထက်ထိမ်းမြား,1.0,,
လက်ထပ်,5.0,1.0,1.0
လက်ထပ်ခွင့်တောင်း,1.0,,
လက်နက်ချ,1.0,,
လက်ပစ်ကူး,2.0,,
လက်ပြောင်း,1.0,,
လက်ဖြောင့်,1.0,1.0,
လက်မခံ,1.0,,
လက်မခံနိုင်,,1.0,
လက်မထပ်,1.0,,
လက်မှတ်ထိုး,5.0,,1.0
လက်လီရောင်းချ,1.0,,
လက်လျော့,,1.0,1.0
လက်လွှတ်,1.0,,
လက်လွှဲပေး,1.0,,
လက်လှမ်းမမီ,1.0,,
လက်ဝယ်,1.0,,
လက်ဝယ်ထားရှိ,1.0,,
လက်ဝယ်ရှိ,,1.0,
လက်ဝါးကြီးအုပ်,1.0,,
လက်သရမ်း,1.0,,
လစ်လပ်,2.0,,1.0
လစ်လျူရှူ,,1.0,
လည့်လည်,,,1.0
လည်,1.0,,
လည်ထွက်,1.0,,
လည်ပတ်,5.0,3.0,1.0
လတ်ဆတ်,1.0,,
လတ်မှတ်ထိုး,1.0,,
လမ်းချော်,3.0,2.0,1.0
လမ်းညွှန်,,1.0,
လမ်းညွှန်ပေး,1.0,,
လမ်းပိတ်ဆို့,,,1.0
လမ်းလျှောက်,5.0,1.0,2.0
လာ,28.0,11.0,2.0
လိင်တူဆက်ဆံ,3.0,1.0,
လိမ်ညာ,1.0,1.0,
လိမ်လည်,7.0,1.0,
လို,,1.0,1.0
လိုက်,9.0,5.0,1.0
လိုက်စား,1.0,,
လိုက်နာ,6.0,2.0,3.0
လိုက်ပါ,5.0,,
လိုက်ပါစီးနင်း,1.0,,
လိုက်ပို့,1.0,,
လိုက်မီ,1.0,,
လိုက်ရှာ,2.0,,
လိုက်လံ,,1.0,
လိုက်လျော,2.0,1.0,
လိုငွေပြ,2.0,,
လိုလား,2.0,1.0,
လိုအပ်,12.0,8.0,3.0
လုပ်,55.0,12.0,8.0
လုပ်ကိုင်,11.0,1.0,
လုပ်ကြံ,3.0,,
လုပ်ကြံခံ,2.0,,
လုပ်ငန်းလုပ်,1.0,,
လုပ်ဆောင်,56.0,9.0,7.0
လုပ်နေ,,1.0,
လုယက်,2.0,,1.0
လုယူ,1.0,1.0,
လုံခြုံ,36.0,16.0,2.0
လုံခြုံမှုရှိ,1.0,,
လုံလောက်,10.0,3.0,1.0
လူကြိုက်နည်း,1.0,,
လူစုဝေး,1.0,,
လူမဲ့,,1.0,
လူသတ်,6.0,2.0,
လူသတ်မှုကျူးလွန်,1.0,,
လူသားချင်းစာနာ,,1.0,
လူသိနည်း,,1.0,
လူသိများလာ,1.0,,
လေကျင့်,1.0,,
လေငြိမ်,1.0,,
လေတိုက်ခံ,1.0,,
လေဖိအားနည်း,1.0,,
လေဖြတ်,2.0,,
လေယာဉ်မောင်း,1.0,,
လေလံတင်,,1.0,
လောင်,7.0,8.0,5.0
လောင်ကျွမ်း,6.0,,
လောင်မြိုက်,1.0,,
လောင်းချ,1.0,,
လေ့ကျင့်,7.0,2.0,1.0
လေ့လာ,12.0,2.0,2.0
လေ့လာနိုင်,1.0,,
လေးစား,3.0,,1.0
လေးစားသ,,1.0,
လေးလံ,2.0,,
လဲ,3.0,2.0,1.0
လဲကျ,1.0,,
လဲကျသွား,1.0,,
လဲလျောင်း,1.0,,
လဲလျောင်းတိုက်ခိုက်,,1.0,
လဲလှယ်,1.0,,1.0
လျင်မြန်,5.0,,
လျစ်လျူရှု,1.0,,
လျာထား,4.0,,
လျော့,5.0,2.0,
လျော့ကျ,4.0,3.0,1.0
လျော့နည်း,5.0,,
လျော့နည်းလာ,1.0,,
လျော့နည်းသွား,1.0,,
လျှို့ဝှက်,3.0,1.0,
လျှောက်,1.0,,
လျှောက်ထား,1.0,1.0,
လျှောက်သွား,1.0,,
လျှော့,2.0,1.0,
လျှော့ကျ,2.0,1.0,
လျှော့ချ,10.0,7.0,
လျှော်ဖွတ်,1.0,,
လွင့်ပြယ်,1.0,,
လွင့်မြော,1.0,,
လွင့်လာ,,1.0,
လွတ်,2.0,,
လွတ်ကင်း,1.0,,
လွတ်ငြိမ်း,7.0,3.0,
လွတ်တင်,,1.0,
လွတ်မြောက်,7.0,3.0,
လွတ်လပ်,9.0,4.0,1.0
လွန်,19.0,4.0,3.0
လွန်ကဲ,1.0,1.0,
လွန်းတင်,1.0,,
လွဲ,,1.0,
လွဲချော်,1.0,1.0,
လွှင့်,,1.0,
လွှင့်တင်,1.0,1.0,
လွှင့်ထုတ်,1.0,,
လွှင့်ထူ,2.0,,1.0
လွှတ်,4.0,2.0,
လွှတ်တင်,10.0,,1.0
လွှတ်ပေး,1.0,,
လွှတ်မြောက်,1.0,,
လွှမ်းခြုံ,1.0,,
လွှမ်းမိုး,15.0,3.0,1.0
လွှဲ,1.0,,
လွှဲပြောင်း,8.0,,1.0
လွှဲပြောင်းယူဖို့,1.0,,
လွှဲအပ်,1.0,,1.0
လှည့်,1.0,,
လှည့်ပတ်,4.0,1.0,
လှည့်လည်,4.0,1.0,
လှန်လှော,1.0,,
လှိုက်စား,1.0,,
လှိုက်ထွက်,,1.0,
လှိုင်းစီး,1.0,,
လှုဒါန်း,1.0,,
လှုပ်,2.0,1.0,3.0
လှုပ်ခတ်,4.0,,
လှုပ်ရှား,26.0,5.0,1.0
လှုပ်ရှားတက်ကြွ,1.0,,
လှုပ်လျား,1.0,,
လှုံ့ဆော်,2.0,1.0,
လှူဒါန်း,,,1.0
လှောင်,1.0,1.0,
လှောင်ပြောင်သရော်,,1.0,
လှော်,1.0,1.0,
ဝက်ရူးပြန်,2.0,,
ဝင်,17.0,2.0,1.0
ဝင်ခွင့်ပြု,,1.0,1.0
ဝင်ငွေရှာ,1.0,,
ဝင်စီး,1.0,,
ဝင်စွက်ဖက်,1.0,,
ဝင်တိုက်,2.0,1.0,
ဝင်ပြိုင်,1.0,,
ဝင်ရောက်,33.0,4.0,2.0
ဝင်သွား,1.0,1.0,
ဝတ်,1.0,,
ဝတ်ဆင်,7.0,2.0,
ဝတ်ပြု,5.0,1.0,
ဝန်ခံ,1.0,2.0,
ဝန်ဆောင်,11.0,4.0,2.0
ဝန်ရံ,1.0,,
ဝန်းရံ,4.0,,
ဝပ်,1.0,,
ဝမ်းနည်း,2.0,2.0,
ဝမ်းနည်းကြေကွဲ,1.0,,
ဝယ်,5.0,4.0,
ဝယ်ယူ,6.0,,
ဝါဝင်,1.0,,
ဝုန်းဒိုင်းကြဲ,1.0,,
ဝေဖန်,9.0,,1.0
ဝေဖန်ဆွေးနွေး,,,1.0
ဝေမျှ,,,1.0
ဝေးလံ,1.0,,
ဝေးလံခေါင်ဖျား,1.0,,
ဝှက်,1.0,,
သက်ဆင်း,1.0,,
သက်ဆိုင်,6.0,2.0,2.0
သက်တမ်းကုန်,3.0,1.0,
သက်တမ်းကုန်ဆုံး,1.0,,
သက်တမ်းကုန်သွား,,1.0,
သက်တမ်းနု,,1.0,
သက်ရောက်,25.0,3.0,3.0
သက်ဝင်,1.0,,
သက်သက်,1.0,,
သက်သာ,1.0,,
သက်သေခံ,1.0,,
သက်သေထွက်ဆို,1.0,,
သက်သေပြ,2.0,,
သင့်,1.0,,
သင့်တော်,3.0,2.0,
သင့်လျော်,6.0,,
သင်,1.0,,
သင်ကြား,3.0,,
သင်ယူ,1.0,,
သစ္စာစောင့်သိ,1.0,,
သည်းခံ,1.0,,
သည်းထန်,3.0,2.0,
သတင်းပို့,1.0,1.0,
သတင်းပေး,2.0,,
သတင်းပေးပို့,1.0,,
သတိထား,3.0,,
သတိထားပြု,1.0,,
သတိပေး,10.0,3.0,1.0
သတိမပြု,,1.0,
သတိမရှိ,,1.0,
သတိလစ်,1.0,,
သတ္တိမရှိ,1.0,,
သတ်,20.0,4.0,2.0
သတ်ဖျက်,1.0,,
သတ်ဖြတ်,1.0,,
သတ်ဖြတ်ခဲ့မှု,1.0,,
သတ်မှတ်,26.0,8.0,1.0
သန့်စင်,1.0,,
သန်စွမ်း,1.0,1.0,
သန်မာ,1.0,,
သပိတ်မှောက်,5.0,,
သဘောကျ,1.0,,
သဘောတူ,28.0,3.0,3.0
သယ်,6.0,1.0,2.0
သယ်ဆောင်,1.0,,
သယ်ယူ,5.0,,
သရုပ်ဆောင်,10.0,1.0,
သရုပ်ပြ,1.0,1.0,
သရုပ်မဆောင်,1.0,,
သရေကျ,1.0,,2.0
သရေကျအောင်ကန်,1.0,,
သရေဖျက်,1.0,,
သာ,,,1.0
သာယာ,,,1.0
သာလွန်,1.0,,1.0
သိ,20.0,8.0,4.0
သိကြ,2.0,,
သိချင်ယောင်ဆောင်,1.0,,
သိပ္ပံနည်းကျ,,1.0,
သိမ်မွေ့,1.0,,
သိမ်းဆည်း,5.0,,
သိမ်းထား,1.0,,
သိမ်းပိုက်,4.0,1.0,
သိမ်းယူခံ,1.0,,
သိမြင်,2.0,,
သိမြင်နိင်,1.0,,
သိရှိ,1.0,1.0,1.0
သိရှိနားလည်,1.0,,
သိရှိလာ,,1.0,
သိသာ,4.0,1.0,2.0
သိသာထင်ရှား,11.0,3.0,1.0
သို,3.0,1.0,1.0
သီဆို,2.0,,
သုံး,22.0,7.0,
သုံးစွဲ,20.0,7.0,1.0
သုံးသပ်,4.0,2.0,
သုံး၍,1.0,,
သူငယ်ပြန်,1.0,,
သူလျှိုလုပ်,1.0,,
သေ,12.0,7.0,2.0
သေကျေ,2.0,,
သေကြောင်း,1.0,,
သေကြောင်းကြံ,2.0,1.0,1.0
သေကြောင်းကြံစည်,3.0,2.0,
သေချာ,6.0,3.0,
သေဆုံး,169.0,25.0,33.0
သေဆုံးသွား,,,1.0
သေဒဏ်ပေး,1.0,,
သေနတ်မှန်,1.0,,
သောက်,6.0,2.0,
သောင်တင်,6.0,,
သောင်းကျန်း,1.0,3.0,1.0
သေးငယ်,2.0,,
သေးဆုံး,1.0,,
သဲကွဲ,1.0,1.0,
သြဇာညောင်း,,1.0,
သွင်း,14.0,6.0,2.0
သွား,10.0,6.0,
သွားကြည့်,1.0,,
သွားနိုင်,,2.0,
သွားနေ,1.0,,
သွားရောက်,1.0,1.0,
သွားရောက်လည်ပတ်,1.0,,
သွားလာ,2.0,2.0,
သွေးဆင်း,,1.0,
သွေးထွက်,1.0,,
ဟင်းချို,1.0,,
ဟန့်တား,1.0,,
ဟုတ်,15.0,29.0,
ဟောင်းနွမ်းစုတ်ပြတ်,1.0,,
ဟောပြော,3.0,1.0,1.0
အ,3.0,,
အကန့်သတ်,1.0,,
အကူအညီပေး,3.0,,
အကောင်အထည်ဖော်,4.0,,
အကဲခတ်,,1.0,
အကဲဖြတ်,,1.0,
အက်ကွဲ,2.0,,
အကျင်းချခံထား,1.0,,
အကျဉ်းချ,3.0,2.0,
အကျဉ်းချုံး,,,1.0
အကျယ်ချဲ့,1.0,,
အကျဥ်းကျခံ,1.0,,
အကျဥ်းချ,1.0,,
အကျိုးပြု,1.0,,
အကျိုးရှိ,2.0,,
အကြမ်းဖက်,36.0,7.0,1.0
အကြာရှည်ဆုံး,1.0,,
အကြောင်းကြား,1.0,,
အကြောင်းပြ,1.0,,
အကြောင်းပြန်,1.0,,
အကြောင်းရင်း,1.0,,
အကြံပေး,2.0,,
အကြံပြု,2.0,,
အခိုင်အမာဖော်ပြ,1.0,,
အခိုးခံ,1.0,,
အချက်ပြ,2.0,,1.0
အချိန်ကုန်,1.0,,
အချိန်ဖြုန်း,1.0,,
အခြေခံ,8.0,3.0,
အခြေခံကျ,1.0,,
အခြေခံထား,1.0,,
အခြေချ,4.0,,
အခြေစိုက်,16.0,2.0,2.0
အခြေဆိုက်,1.0,,
အခြေပြု,3.0,,1.0
အခွန်ထမ်းရ,1.0,,
အင်အားချဲ့,1.0,,
အင်အားဖြည့်,1.0,,
အငြင်းပွား,11.0,5.0,2.0
အငွေ့ပျံ,1.0,,
အငွေ့ပြန်,1.0,,
အငှားချ,1.0,,
အစပျိုး,2.0,1.0,
အစပြု,4.0,1.0,
အစာငတ်ခံ,1.0,,
အစားထိုး,14.0,2.0,
အစားထိုးဝင်,1.0,,
အစီစဉ်,1.0,,
အစီစဉ်ချမှတ်,1.0,,
အစီရင်ခံ,14.0,4.0,4.0
အစီအစဉ်ရေးဆွဲ,1.0,,
အစုစပ်ဝင်,1.0,,
အစွန်းမရောက်,1.0,,
အစွန်းရောက်,3.0,,
အဆက်အသွယ်မလုပ်,1.0,,
အဆက်အသွယ်ရှိ,1.0,,
အဆင့်မြှင့်,,1.0,
အဆင့်သတ်မှတ်,1.0,,
အဆင်ပြေ,1.0,2.0,
အဆင်မပြေ,2.0,,
အဆင်သင့်,2.0,,
အဆိပ်ရှိ,,,1.0
အဆိပ်သင့်,1.0,,
အဆိုပြု,2.0,,
အဆုံးစီရင်,2.0,,1.0
အဆုံးဖြတ်ပေး,2.0,,
အဆုံးသက်,,,1.0
အဆုံးသတ်,21.0,10.0,3.0
အညံ့ခံ,1.0,,
အတည်ပြု,27.0,6.0,1.0
အတည်ပြုခဲ့ပြီး,1.0,,
အတိုက်အခံပြု,1.0,,
အတိုတောင်းဆုံး,1.0,,
အတုပြ,1.0,,
အတွင်းကျ,,1.0,
အထင်ကြီးလောက်,1.0,,
အထိတ်တလန့်,1.0,,
အထုတ်ပယ်,1.0,,
အထူးတီထွင်,,,1.0
အဓမ္မကျင့်,1.0,,
အဓိပ္ပာယ်ရ,1.0,,
အနည်းငယ်,1.0,,1.0
အနားယူ,7.0,,1.0
အနိုင်ယူ,4.0,1.0,
အနိုင်ရ,40.0,9.0,3.0
အနိုင်ရိုက်,1.0,,
အန္တရာယ်ကင်း,,1.0,
အန္တရာယ်ရှိ,1.0,,
အပစ်ခံ,2.0,,
အပန်းဖြေ,1.0,,1.0
အပိတ်,1.0,,
အပိုင်စီး,1.0,,
အပူ-ကာကွယ်,1.0,,
အပူကာ,1.0,,
အပ်နေကျ,1.0,,
အပ်နှံ,2.0,,
အပြစ်တင်,1.0,,
အပြစ်ပုံချ,,1.0,
အပြစ်ပေး,1.0,,
အပြစ်မ,1.0,,
အပြစ်ရှိ,1.0,,
အပြန်အလှန်ပြောဆို,1.0,,
အပြီးသတ်,3.0,2.0,1.0
အပြီးသတ်နိုင်,1.0,,
အပြုသဘောမဆောင်,,1.0,
အဖမ်းခံ,6.0,2.0,
အဖမ်းအဆီး,1.0,,
အဖြေထွက်,1.0,,
အမည်တပ်,4.0,,
အမည်တွင်,3.0,,
အမည်မပေး,1.0,,
အမည်မှည့်,1.0,,
အမိန့်ထုတ်,1.0,,
အမိန့်ပေး,,1.0,
အမဲလိုက်,,,1.0
အမြင်ရှိ,1.0,,
အမြစ်တွယ်,1.0,,
အမြတ်ထုတ်,1.0,,
အမွှန်းတင်လွန်း,1.0,,
အမှုစစ်,,1.0,
အယူခံဝင်,3.0,,1.0
အယူသည်း,,,1.0
အရက်သောက်သုံး,,1.0,
အရည်ပျော်,1.0,,
အရည်ပျော်သွား,2.0,,
အရောင်တင်,1.0,,
အရေးကြီး,11.0,3.0,1.0
အရေးနိမ့်,1.0,,
အရေးပါ,9.0,6.0,
အရေးပါလှ,1.0,,
အရေးမထားလောက်,,,1.0
အရေးမပါ,1.0,,
အရေးယူ,5.0,,
အရေးအကြီး,,1.0,
အရွေးခံ,2.0,1.0,
အရှက်ရ,1.0,,
အရှုံးမ,1.0,,
အလည်,1.0,,
အလားတူ,1.0,1.0,
အလားလာရှိ,1.0,,
အလားအလာရှိ,1.0,,
အလုပ်ခန့်,1.0,,
အလုပ်ခေါ်,1.0,,
အလုပ်ဖြုတ်,,,1.0
အလုပ်မလုပ်,1.0,,
အလုပ်လုပ်,5.0,1.0,
အလုပ်လုပ်ကြ,,,1.0
အလုပ်ဝင်,,,1.0
အလေးထား,1.0,,
အလဲထိုး,2.0,,
အလျော့ပေး,1.0,,
အလွန်အေး,1.0,,
အလွဲသုံး,1.0,,
အလွဲသုံးစားလုပ်,,,1.0
အလှည့်ကျ,2.0,1.0,
အလှပြင်,1.0,,
အဝေးထွက်,1.0,,
အသက်ရှင်,8.0,2.0,2.0
အသက်ရှင်မကျန်ရစ်,,1.0,
အသက်ရှုနိုင်,1.0,,
အသက်ဝင်,,,1.0
အသက်သွင်း,1.0,,
အသင့်စောင့်,1.0,,
အသစ်ပြင်,1.0,,
အသတ်ခံ,26.0,6.0,
အသရေဖျက်,2.0,,
အသားစား,1.0,,
အသားပေး,1.0,1.0,
အသားပေးဖော်ပြ,,1.0,
အသိပေး,1.0,1.0,
အသိမှတ်မပြု,,1.0,
အသိအမှတ်ပြု,4.0,1.0,
အသိုက်ဆောက်,,1.0,
အသုံးချ,2.0,,
အသုံးပြု,62.0,11.0,12.0
အသုံးပြုထား,1.0,,
အသုံးပြုလိမ့်မည်,1.0,,
အသုံးမပြု,3.0,1.0,
အသုံးမပြုလို,1.0,,
အသုံးများ,1.0,,
အသုံးဝင်,1.0,1.0,
အသုံးဝင်လိမ့်,1.0,,
အသေကြေဆုံး,1.0,,
အသံလွှင့်,3.0,,
အာဏာရှိ,1.0,,
အာဏာသိမ်း,4.0,,1.0
အာဏာသိမ်းယူ,1.0,,
အာဏာအပ်,3.0,,
အာမခံ,1.0,1.0,
အာမခံပေး,1.0,,
အာမမခံ,1.0,,
အာရုံစိုက်,7.0,,2.0
အာရုံပြောင်း,1.0,,
အာသာဖြေ,,1.0,
အားထုတ်,1.0,,
အားပေး,5.0,,
အားပြင်း,2.0,,
အားဖြည့်,,1.0,
အားသာ,1.0,,
အိတ်ဖွင့်,,,1.0
အိပ်,1.0,,
အိပ်စက်,,,1.0
အိပ်ပျော်,,1.0,
အိပ်ရ,1.0,,
အုပ်ချုပ်,14.0,3.0,2.0
အုပ်ချူပ်,,2.0,
အုပ်စိုး,1.0,,
အုံကြွ,1.0,,
အောက်ရှိ,1.0,,
အောင်,5.0,2.0,
အောင်နိုင်,5.0,,
အောင်ပွဲရ,1.0,,
အောင်မြင်,28.0,6.0,6.0
အောင်မြင်သွား,1.0,,
အော့အန်,,1.0,
အော်ဟစ်,2.0,,
အေးခဲခြောက်သွေ့,1.0,,
အံ့သြ,3.0,,
အံ့အားသင့်,2.0,1.0,
အံ့ဩ,,1.0,1.0
အံ့ဩစရာ,,1.0,
ဤသို့,1.0,,
ဥပဒေပြု,3.0,1.0,
ဥပဒေသတ်မှတ်,2.0,,
ဦတည်,1.0,,
ဦးစားပေး,2.0,1.0,
ဦးဆောင်,43.0,11.0,4.0
ဦးဆောင်လမ်းပြ,1.0,,
ဦးတည်,8.0,2.0,
ဦးမော့,1.0,,
ဩဘာပေး,,,1.0
၁၃၀,1.0,,
